x-axis,1,2,3,F1
second,Volt,Volt,Volt,Volt
-1.806000E-03,-155.049E-06,-210.466E-06,-1.953661522E+00,+55.046E-06
-1.804000E-03,-259.909E-06,-223.807E-06,-1.944540868E+00,-36.328E-06
-1.802000E-03,-186.072E-06,-235.390E-06,-1.933636293E+00,+48.964E-06
-1.800000E-03,-261.748E-06,-266.521E-06,-1.920947750E+00,+4.455E-06
-1.798000E-03,-326.342E-06,-286.546E-06,-1.906789453E+00,-40.048E-06
-1.796000E-03,-283.301E-06,-276.670E-06,-1.892530702E+00,-6.910E-06
-1.794000E-03,-301.459E-06,-257.273E-06,-1.878485521E+00,-44.426E-06
-1.792000E-03,-247.872E-06,-236.369E-06,-1.864942702E+00,-11.784E-06
-1.790000E-03,-331.095E-06,-228.581E-06,-1.850470335E+00,-102.772E-06
-1.788000E-03,-311.483E-06,-222.222E-06,-1.835997967E+00,-89.523E-06
-1.786000E-03,-303.011E-06,-222.023E-06,-1.821802033E+00,-81.265E-06
-1.784000E-03,-306.003E-06,-225.743E-06,-1.808535697E+00,-80.534E-06
-1.782000E-03,-308.210E-06,-243.456E-06,-1.797053437E+00,-64.993E-06
-1.780000E-03,-311.612E-06,-243.529E-06,-1.785709159E+00,-68.364E-06
-1.778000E-03,-445.087E-06,-262.727E-06,-1.773761812E+00,-182.569E-06
-1.776000E-03,-383.423E-06,-270.514E-06,-1.759867334E+00,-113.111E-06
-1.774000E-03,-347.630E-06,-266.570E-06,-1.745972857E+00,-81.330E-06
-1.772000E-03,-260.237E-06,-253.053E-06,-1.733887479E+00,-7.495E-06
-1.770000E-03,-265.390E-06,-237.122E-06,-1.724277088E+00,-28.530E-06
-1.768000E-03,-236.969E-06,-223.076E-06,-1.716287191E+00,-14.186E-06
-1.766000E-03,-286.574E-06,-226.395E-06,-1.707706730E+00,-60.416E-06
-1.764000E-03,-234.733E-06,-222.273E-06,-1.697266857E+00,-12.750E-06
-1.762000E-03,-320.691E-06,-236.194E-06,-1.684276846E+00,-84.729E-06
-1.760000E-03,-185.240E-06,-242.777E-06,-1.670131054E+00,+57.189E-06
-1.758000E-03,-195.005E-06,-229.081E-06,-1.656688954E+00,+33.719E-06
-1.756000E-03,-55.032E-06,-194.157E-06,-1.645407601E+00,+138.712E-06
